,date_time,temprature(C),dew_point_temp(C),rel_hum(%),wind_spd(km/hr),visibility(km),stn_press(kPa),temprature_subtract
0,2012-01-01 00:00:00,-1.8,-3.9,86,4,8.0,101.24,2.0999999999999996
1,2012-01-01 01:00:00,-1.8,-3.7,87,4,8.0,101.24,1.9000000000000001
2,2012-01-01 02:00:00,-1.8,-3.4,89,7,4.0,101.26,1.5999999999999999
3,2012-01-01 03:00:00,-1.5,-3.2,88,6,4.0,101.27,1.7000000000000002
4,2012-01-01 04:00:00,-1.5,-3.3,88,7,4.8,101.23,1.7999999999999998
5,2012-01-01 05:00:00,-1.4,-3.3,87,9,6.4,101.27,1.9
6,2012-01-01 06:00:00,-1.5,-3.1,89,7,6.4,101.29,1.6
7,2012-01-01 07:00:00,-1.4,-3.6,85,7,8.0,101.26,2.2
8,2012-01-01 08:00:00,-1.4,-3.6,85,9,8.0,101.23,2.2
9,2012-01-01 09:00:00,-1.3,-3.1,88,15,4.0,101.2,1.8
10,2012-01-01 10:00:00,-1.0,-2.3,91,9,1.2,101.15,1.2999999999999998
11,2012-01-01 11:00:00,-0.5,-2.1,89,7,4.0,100.98,1.6
12,2012-01-01 12:00:00,-0.2,-2.0,88,9,4.8,100.79,1.8
13,2012-01-01 13:00:00,0.2,-1.7,87,13,4.8,100.58,1.9
14,2012-01-01 14:00:00,0.8,-1.1,87,20,4.8,100.31,1.9000000000000001
15,2012-01-01 15:00:00,1.8,-0.4,85,22,6.4,100.07,2.2
16,2012-01-01 16:00:00,2.6,-0.2,82,13,12.9,99.93,2.8000000000000003
17,2012-01-01 17:00:00,3.0,0.0,81,13,16.1,99.81,3.0
18,2012-01-01 18:00:00,3.8,1.0,82,15,12.9,99.74,2.8
19,2012-01-01 19:00:00,3.1,1.3,88,15,12.9,99.68,1.8
20,2012-01-01 20:00:00,3.2,1.3,87,19,25.0,99.5,1.9000000000000001
21,2012-01-01 21:00:00,4.0,1.7,85,20,25.0,99.39,2.3
22,2012-01-01 22:00:00,4.4,1.9,84,24,19.3,99.32,2.5000000000000004
23,2012-01-01 23:00:00,5.3,2.0,79,30,25.0,99.31,3.3
24,2012-01-02 00:00:00,5.2,1.5,77,35,25.0,99.26,3.7
25,2012-01-02 01:00:00,4.6,0.0,72,39,25.0,99.26,4.6
26,2012-01-02 02:00:00,3.9,-0.9,71,32,25.0,99.26,4.8
27,2012-01-02 03:00:00,3.7,-1.5,69,33,25.0,99.3,5.2
28,2012-01-02 04:00:00,2.9,-2.3,69,32,25.0,99.26,5.199999999999999
29,2012-01-02 05:00:00,2.6,-2.3,70,32,25.0,99.21,4.9
30,2012-01-02 06:00:00,2.3,-2.6,70,26,25.0,99.18,4.9
31,2012-01-02 07:00:00,2.0,-2.9,70,33,25.0,99.14,4.9
32,2012-01-02 08:00:00,1.9,-3.3,68,39,24.1,99.14,5.199999999999999
33,2012-01-02 09:00:00,1.8,-3.7,67,44,24.1,99.14,5.5
34,2012-01-02 10:00:00,1.5,-4.1,66,43,24.1,99.18,5.6
35,2012-01-02 11:00:00,2.2,-3.5,66,30,24.1,99.19,5.7
36,2012-01-02 12:00:00,1.7,-6.2,56,48,24.1,99.21,7.9
37,2012-01-02 13:00:00,1.1,-6.5,57,37,24.1,99.27,7.6
38,2012-01-02 14:00:00,1.1,-6.8,56,33,24.1,99.33,7.9
39,2012-01-02 15:00:00,0.0,-7.0,59,33,24.1,99.41,7.0
40,2012-01-02 16:00:00,-0.7,-8.7,55,24,24.1,99.5,7.999999999999999
41,2012-01-02 17:00:00,-2.1,-9.5,57,22,25.0,99.66,7.4
42,2012-01-02 18:00:00,-4.1,-11.4,57,28,25.0,99.86,7.300000000000001
43,2012-01-02 19:00:00,-4.8,-12.1,57,24,25.0,100.0,7.3
44,2012-01-02 20:00:00,-5.6,-13.4,54,24,25.0,100.07,7.800000000000001
45,2012-01-02 21:00:00,-5.8,-12.8,58,26,25.0,100.15,7.000000000000001
46,2012-01-02 22:00:00,-7.0,-14.7,54,20,25.0,100.26,7.699999999999999
47,2012-01-02 23:00:00,-7.4,-14.1,59,17,19.3,100.27,6.699999999999999
48,2012-01-03 00:00:00,-9.0,-16.0,57,28,25.0,100.35,7.0
49,2012-01-03 01:00:00,-9.7,-17.2,54,20,25.0,100.43,7.5
50,2012-01-03 02:00:00,-10.5,-15.8,65,22,12.9,100.53,5.300000000000001
51,2012-01-03 03:00:00,-11.3,-18.7,54,33,25.0,100.61,7.399999999999999
52,2012-01-03 04:00:00,-12.6,-20.1,53,24,25.0,100.68,7.500000000000002
53,2012-01-03 05:00:00,-12.9,-19.1,60,22,25.0,100.76,6.200000000000001
54,2012-01-03 06:00:00,-13.3,-19.3,61,19,25.0,100.85,6.0
55,2012-01-03 07:00:00,-14.0,-19.5,63,19,25.0,100.95,5.5
56,2012-01-03 08:00:00,-14.8,-21.3,58,26,24.1,101.07,6.5
57,2012-01-03 09:00:00,-15.0,-21.9,56,19,24.1,101.2,6.899999999999999
58,2012-01-03 10:00:00,-15.3,-22.2,56,24,24.1,101.29,6.899999999999999
59,2012-01-03 11:00:00,-14.9,-22.2,54,22,24.1,101.33,7.299999999999999
60,2012-01-03 12:00:00,-14.9,-22.6,52,20,24.1,101.34,7.700000000000001
61,2012-01-03 13:00:00,-15.1,-22.4,54,22,24.1,101.34,7.299999999999999
62,2012-01-03 14:00:00,-14.9,-22.9,50,22,24.1,101.38,7.999999999999998
63,2012-01-03 15:00:00,-14.8,-22.2,53,19,24.1,101.44,7.399999999999999
64,2012-01-03 16:00:00,-15.3,-22.9,52,22,24.1,101.51,7.599999999999998
65,2012-01-03 17:00:00,-15.8,-23.2,53,22,24.1,101.58,7.399999999999999
66,2012-01-03 18:00:00,-16.3,-23.8,52,24,25.0,101.64,7.5
67,2012-01-03 19:00:00,-16.9,-24.8,50,24,25.0,101.74,7.900000000000002
68,2012-01-03 20:00:00,-17.3,-25.4,49,24,25.0,101.82,8.099999999999998
69,2012-01-03 21:00:00,-17.0,-24.6,52,15,25.0,101.86,7.600000000000001
70,2012-01-03 22:00:00,-17.1,-24.6,52,20,25.0,101.86,7.5
71,2012-01-03 23:00:00,-17.3,-24.2,55,17,25.0,101.87,6.899999999999999
72,2012-01-04 00:00:00,-17.5,-24.2,56,13,25.0,101.88,6.699999999999999
73,2012-01-04 01:00:00,-17.9,-24.1,58,11,25.0,101.86,6.200000000000003
74,2012-01-04 02:00:00,-18.1,-23.8,61,15,25.0,101.89,5.699999999999999
75,2012-01-04 03:00:00,-18.5,-24.6,59,13,25.0,101.88,6.100000000000001
76,2012-01-04 04:00:00,-18.5,-24.6,59,13,25.0,101.82,6.100000000000001
77,2012-01-04 05:00:00,-18.6,-24.0,62,9,25.0,101.77,5.399999999999999
78,2012-01-04 06:00:00,-18.5,-24.1,61,11,25.0,101.74,5.600000000000001
79,2012-01-04 07:00:00,-18.2,-24.1,60,11,25.0,101.75,5.900000000000002
80,2012-01-04 08:00:00,-17.8,-24.2,57,17,24.1,101.73,6.399999999999999
81,2012-01-04 09:00:00,-16.8,-22.5,61,9,24.1,101.68,5.699999999999999
82,2012-01-04 10:00:00,-15.2,-20.6,63,7,24.1,101.54,5.400000000000002
83,2012-01-04 11:00:00,-14.2,-21.1,56,13,24.1,101.41,6.900000000000002
84,2012-01-04 12:00:00,-13.7,-21.7,51,11,24.1,101.25,8.0
85,2012-01-04 13:00:00,-12.4,-20.1,53,11,24.1,101.07,7.700000000000001
